,name,freeze_layer
0,bert.embeddings.word_embeddings.weight,True
1,bert.embeddings.position_embeddings.weight,True
2,bert.embeddings.token_type_embeddings.weight,True
3,bert.embeddings.LayerNorm.weight,True
4,bert.embeddings.LayerNorm.bias,True
5,bert.encoder.layer.0.attention.self.query.weight,False
6,bert.encoder.layer.0.attention.self.query.bias,False
7,bert.encoder.layer.0.attention.self.key.weight,False
8,bert.encoder.layer.0.attention.self.key.bias,False
9,bert.encoder.layer.0.attention.self.value.weight,False
10,bert.encoder.layer.0.attention.self.value.bias,False
11,bert.encoder.layer.0.attention.output.dense.weight,False
12,bert.encoder.layer.0.attention.output.dense.bias,False
13,bert.encoder.layer.0.attention.output.LayerNorm.weight,True
14,bert.encoder.layer.0.attention.output.LayerNorm.bias,True
15,bert.encoder.layer.0.intermediate.dense.weight,False
16,bert.encoder.layer.0.intermediate.dense.bias,False
17,bert.encoder.layer.0.output.dense.weight,False
18,bert.encoder.layer.0.output.dense.bias,False
19,bert.encoder.layer.0.output.LayerNorm.weight,True
20,bert.encoder.layer.0.output.LayerNorm.bias,True
21,bert.encoder.layer.1.attention.self.query.weight,False
22,bert.encoder.layer.1.attention.self.query.bias,False
23,bert.encoder.layer.1.attention.self.key.weight,False
24,bert.encoder.layer.1.attention.self.key.bias,False
25,bert.encoder.layer.1.attention.self.value.weight,False
26,bert.encoder.layer.1.attention.self.value.bias,False
27,bert.encoder.layer.1.attention.output.dense.weight,False
28,bert.encoder.layer.1.attention.output.dense.bias,False
29,bert.encoder.layer.1.attention.output.LayerNorm.weight,True
30,bert.encoder.layer.1.attention.output.LayerNorm.bias,True
31,bert.encoder.layer.1.intermediate.dense.weight,False
32,bert.encoder.layer.1.intermediate.dense.bias,False
33,bert.encoder.layer.1.output.dense.weight,False
34,bert.encoder.layer.1.output.dense.bias,False
35,bert.encoder.layer.1.output.LayerNorm.weight,True
36,bert.encoder.layer.1.output.LayerNorm.bias,True
37,bert.encoder.layer.2.attention.self.query.weight,False
38,bert.encoder.layer.2.attention.self.query.bias,False
39,bert.encoder.layer.2.attention.self.key.weight,False
40,bert.encoder.layer.2.attention.self.key.bias,False
41,bert.encoder.layer.2.attention.self.value.weight,False
42,bert.encoder.layer.2.attention.self.value.bias,False
43,bert.encoder.layer.2.attention.output.dense.weight,False
44,bert.encoder.layer.2.attention.output.dense.bias,False
45,bert.encoder.layer.2.attention.output.LayerNorm.weight,True
46,bert.encoder.layer.2.attention.output.LayerNorm.bias,True
47,bert.encoder.layer.2.intermediate.dense.weight,False
48,bert.encoder.layer.2.intermediate.dense.bias,False
49,bert.encoder.layer.2.output.dense.weight,True
50,bert.encoder.layer.2.output.dense.bias,True
51,bert.encoder.layer.2.output.LayerNorm.weight,True
52,bert.encoder.layer.2.output.LayerNorm.bias,True
53,bert.encoder.layer.3.attention.self.query.weight,False
54,bert.encoder.layer.3.attention.self.query.bias,False
55,bert.encoder.layer.3.attention.self.key.weight,False
56,bert.encoder.layer.3.attention.self.key.bias,False
57,bert.encoder.layer.3.attention.self.value.weight,False
58,bert.encoder.layer.3.attention.self.value.bias,False
59,bert.encoder.layer.3.attention.output.dense.weight,False
60,bert.encoder.layer.3.attention.output.dense.bias,False
61,bert.encoder.layer.3.attention.output.LayerNorm.weight,True
62,bert.encoder.layer.3.attention.output.LayerNorm.bias,True
63,bert.encoder.layer.3.intermediate.dense.weight,False
64,bert.encoder.layer.3.intermediate.dense.bias,False
65,bert.encoder.layer.3.output.dense.weight,False
66,bert.encoder.layer.3.output.dense.bias,False
67,bert.encoder.layer.3.output.LayerNorm.weight,True
68,bert.encoder.layer.3.output.LayerNorm.bias,True
69,bert.encoder.layer.4.attention.self.query.weight,False
70,bert.encoder.layer.4.attention.self.query.bias,False
71,bert.encoder.layer.4.attention.self.key.weight,False
72,bert.encoder.layer.4.attention.self.key.bias,False
73,bert.encoder.layer.4.attention.self.value.weight,False
74,bert.encoder.layer.4.attention.self.value.bias,False
75,bert.encoder.layer.4.attention.output.dense.weight,False
76,bert.encoder.layer.4.attention.output.dense.bias,False
77,bert.encoder.layer.4.attention.output.LayerNorm.weight,True
78,bert.encoder.layer.4.attention.output.LayerNorm.bias,True
79,bert.encoder.layer.4.intermediate.dense.weight,False
80,bert.encoder.layer.4.intermediate.dense.bias,False
81,bert.encoder.layer.4.output.dense.weight,False
82,bert.encoder.layer.4.output.dense.bias,False
83,bert.encoder.layer.4.output.LayerNorm.weight,True
84,bert.encoder.layer.4.output.LayerNorm.bias,True
85,bert.encoder.layer.5.attention.self.query.weight,False
86,bert.encoder.layer.5.attention.self.query.bias,False
87,bert.encoder.layer.5.attention.self.key.weight,False
