,name,freeze_layer
0,bert.embeddings.word_embeddings.weight,True
1,bert.embeddings.position_embeddings.weight,True
2,bert.embeddings.token_type_embeddings.weight,True
3,bert.embeddings.LayerNorm.weight,True
4,bert.embeddings.LayerNorm.bias,True
5,bert.encoder.layer.0.attention.self.query.weight,True
6,bert.encoder.layer.0.attention.self.query.bias,True
7,bert.encoder.layer.0.attention.self.key.weight,True
8,bert.encoder.layer.0.attention.self.key.bias,True
9,bert.encoder.layer.0.attention.self.value.weight,True
10,bert.encoder.layer.0.attention.self.value.bias,True
11,bert.encoder.layer.0.attention.output.dense.weight,True
12,bert.encoder.layer.0.attention.output.dense.bias,True
13,bert.encoder.layer.0.attention.output.LayerNorm.weight,True
14,bert.encoder.layer.0.attention.output.LayerNorm.bias,True
15,bert.encoder.layer.0.intermediate.dense.weight,True
16,bert.encoder.layer.0.intermediate.dense.bias,True
17,bert.encoder.layer.0.output.dense.weight,True
18,bert.encoder.layer.0.output.dense.bias,True
19,bert.encoder.layer.0.output.LayerNorm.weight,True
20,bert.encoder.layer.0.output.LayerNorm.bias,True
21,bert.encoder.layer.1.attention.self.query.weight,False
22,bert.encoder.layer.1.attention.self.query.bias,False
23,bert.encoder.layer.1.attention.self.key.weight,True
24,bert.encoder.layer.1.attention.self.key.bias,True
25,bert.encoder.layer.1.attention.self.value.weight,True
26,bert.encoder.layer.1.attention.self.value.bias,True
27,bert.encoder.layer.1.attention.output.dense.weight,False
28,bert.encoder.layer.1.attention.output.dense.bias,False
29,bert.encoder.layer.1.attention.output.LayerNorm.weight,True
30,bert.encoder.layer.1.attention.output.LayerNorm.bias,True
31,bert.encoder.layer.1.intermediate.dense.weight,True
32,bert.encoder.layer.1.intermediate.dense.bias,True
33,bert.encoder.layer.1.output.dense.weight,True
34,bert.encoder.layer.1.output.dense.bias,True
35,bert.encoder.layer.1.output.LayerNorm.weight,True
36,bert.encoder.layer.1.output.LayerNorm.bias,True
37,bert.encoder.layer.2.attention.self.query.weight,False
38,bert.encoder.layer.2.attention.self.query.bias,False
39,bert.encoder.layer.2.attention.self.key.weight,True
40,bert.encoder.layer.2.attention.self.key.bias,True
41,bert.encoder.layer.2.attention.self.value.weight,True
42,bert.encoder.layer.2.attention.self.value.bias,True
43,bert.encoder.layer.2.attention.output.dense.weight,True
44,bert.encoder.layer.2.attention.output.dense.bias,True
45,bert.encoder.layer.2.attention.output.LayerNorm.weight,True
46,bert.encoder.layer.2.attention.output.LayerNorm.bias,True
47,bert.encoder.layer.2.intermediate.dense.weight,True
48,bert.encoder.layer.2.intermediate.dense.bias,True
49,bert.encoder.layer.2.output.dense.weight,True
50,bert.encoder.layer.2.output.dense.bias,True
51,bert.encoder.layer.2.output.LayerNorm.weight,True
52,bert.encoder.layer.2.output.LayerNorm.bias,True
53,bert.encoder.layer.3.attention.self.query.weight,True
54,bert.encoder.layer.3.attention.self.query.bias,True
55,bert.encoder.layer.3.attention.self.key.weight,False
56,bert.encoder.layer.3.attention.self.key.bias,False
57,bert.encoder.layer.3.attention.self.value.weight,True
58,bert.encoder.layer.3.attention.self.value.bias,True
59,bert.encoder.layer.3.attention.output.dense.weight,True
60,bert.encoder.layer.3.attention.output.dense.bias,True
61,bert.encoder.layer.3.attention.output.LayerNorm.weight,True
62,bert.encoder.layer.3.attention.output.LayerNorm.bias,True
63,bert.encoder.layer.3.intermediate.dense.weight,True
64,bert.encoder.layer.3.intermediate.dense.bias,True
65,bert.encoder.layer.3.output.dense.weight,True
66,bert.encoder.layer.3.output.dense.bias,True
67,bert.encoder.layer.3.output.LayerNorm.weight,True
68,bert.encoder.layer.3.output.LayerNorm.bias,True
69,bert.encoder.layer.4.attention.self.query.weight,True
70,bert.encoder.layer.4.attention.self.query.bias,True
71,bert.encoder.layer.4.attention.self.key.weight,True
72,bert.encoder.layer.4.attention.self.key.bias,True
73,bert.encoder.layer.4.attention.self.value.weight,True
74,bert.encoder.layer.4.attention.self.value.bias,True
75,bert.encoder.layer.4.attention.output.dense.weight,True
76,bert.encoder.layer.4.attention.output.dense.bias,True
77,bert.encoder.layer.4.attention.output.LayerNorm.weight,True
78,bert.encoder.layer.4.attention.output.LayerNorm.bias,True
79,bert.encoder.layer.4.intermediate.dense.weight,True
80,bert.encoder.layer.4.intermediate.dense.bias,True
81,bert.encoder.layer.4.output.dense.weight,True
82,bert.encoder.layer.4.output.dense.bias,True
83,bert.encoder.layer.4.output.LayerNorm.weight,True
84,bert.encoder.layer.4.output.LayerNorm.bias,True
85,bert.encoder.layer.5.attention.self.query.weight,True
86,bert.encoder.layer.5.attention.self.query.bias,True
87,bert.encoder.layer.5.attention.self.key.weight,True
